Index,COMBODRUGSEQ,SCREENER,STUDY,TESTDATE,PLATE,PANELNBR,CELLNBR,PREFIX1,NSC1,SAMPLE1,CONCINDEX1,CONC1,CONCUNIT1,PREFIX2,NSC2,SAMPLE2,CONCINDEX2,CONC2,CONCUNIT2,PERCENTGROWTH,PERCENTGROWTHNOTZ,TESTVALUE,CONTROLVALUE,TZVALUE,EXPECTEDGROWTH,SCORE,VALID,PANEL,CELLNAME
2447479,4166475,FF,CD086CP130B,06/18/2012,CD086CP130BA549,1,4,S,119875,97,1,2e-07,M,S,125973.0,18.0,2,3e-08,M,94.61,95.14,4966680.0,5220413.0,513498.0,93.792,-1.0,Y,Non-Small Cell Lung Cancer,A549/ATCC
2447480,4166476,FF,CD086CP130B,06/18/2012,CD086CP130BA549,1,4,S,119875,97,1,2e-07,M,S,125973.0,18.0,3,3e-07,M,5.72,14.99,782520.0,5220413.0,513498.0,5.64,0.0,Y,Non-Small Cell Lung Cancer,A549/ATCC
2447481,4166477,FF,CD086CP130B,06/18/2012,CD086CP130BA549,1,4,S,119875,97,2,2e-06,M,S,125973.0,18.0,1,3e-09,M,68.8,71.86,3751640.0,5220413.0,513498.0,78.975,10.0,Y,Non-Small Cell Lung Cancer,A549/ATCC
2447482,4166478,FF,CD086CP130B,06/18/2012,CD086CP130BA549,1,4,S,119875,97,2,2e-06,M,S,125973.0,18.0,2,3e-08,M,69.13,72.17,3767600.0,5220413.0,513498.0,76.965,8.0,Y,Non-Small Cell Lung Cancer,A549/ATCC
2447483,4166479,FF,CD086CP130B,06/18/2012,CD086CP130BA549,1,4,S,119875,97,2,2e-06,M,S,125973.0,18.0,3,3e-07,M,6.57,15.76,822760.0,5220413.0,513498.0,4.628,-2.0,Y,Non-Small Cell Lung Cancer,A549/ATCC
2447484,4166480,FF,CD086CP130B,06/18/2012,CD086CP130BA549,1,4,S,119875,97,3,2e-05,M,S,125973.0,18.0,1,3e-09,M,16.71,24.9,1300040.0,5220413.0,513498.0,21.193,4.0,Y,Non-Small Cell Lung Cancer,A549/ATCC
2447485,4166481,FF,CD086CP130B,06/18/2012,CD086CP130BA549,1,4,S,119875,97,3,2e-05,M,S,125973.0,18.0,2,3e-08,M,17.3,25.43,1327600.0,5220413.0,513498.0,20.654,3.0,Y,Non-Small Cell Lung Cancer,A549/ATCC
2447486,4166482,FF,CD086CP130B,06/18/2012,CD086CP130BA549,1,4,S,119875,97,3,2e-05,M,S,125973.0,18.0,3,3e-07,M,8.19,17.22,898840.0,5220413.0,513498.0,1.242,-7.0,Y,Non-Small Cell Lung Cancer,A549/ATCC
2448459,4167563,FF,CD086CP130B,06/18/2012,CD086CP130BA549,1,4,S,119875,97,1,2e-07,M,S,0.0,0.0,0,0.0,M,98.77,98.89,5162426.0,5220413.0,513498.0,0.0,0.0,Y,Non-Small Cell Lung Cancer,A549/ATCC
2448460,4167564,FF,CD086CP130B,06/18/2012,CD086CP130BA549,1,4,S,119875,97,2,2e-06,M,S,0.0,0.0,0,0.0,M,81.05,82.92,4328626.0,5220413.0,513498.0,0.0,0.0,Y,Non-Small Cell Lung Cancer,A549/ATCC
2448461,4167565,FF,CD086CP130B,06/18/2012,CD086CP130BA549,1,4,S,119875,97,3,2e-05,M,S,0.0,0.0,0,0.0,M,21.75,29.45,1537200.0,5220413.0,513498.0,0.0,0.0,Y,Non-Small Cell Lung Cancer,A549/ATCC
2448525,4167629,FF,CD086CP130B,06/18/2012,CD086CP130BA549,1,4,S,123127,290,1,5e-09,M,S,0.0,0.0,0,0.0,M,102.65,102.39,5344920.0,5220413.0,513498.0,0.0,0.0,Y,Non-Small Cell Lung Cancer,A549/ATCC
2448526,4167630,FF,CD086CP130B,06/18/2012,CD086CP130BA549,1,4,S,123127,290,2,5e-08,M,S,0.0,0.0,0,0.0,M,92.7,93.42,4876720.0,5220413.0,513498.0,0.0,0.0,Y,Non-Small Cell Lung Cancer,A549/ATCC
2448527,4167631,FF,CD086CP130B,06/18/2012,CD086CP130BA549,1,4,S,123127,290,3,5e-07,M,S,0.0,0.0,0,0.0,M,34.2,40.67,2123320.0,5220413.0,513498.0,0.0,0.0,Y,Non-Small Cell Lung Cancer,A549/ATCC
2448591,4167695,FF,CD086CP130B,06/18/2012,CD086CP130BA549,1,4,S,125973,18,1,3e-09,M,S,0.0,0.0,0,0.0,M,97.44,97.69,5099840.0,5220413.0,513498.0,0.0,0.0,Y,Non-Small Cell Lung Cancer,A549/ATCC
2448592,4167696,FF,CD086CP130B,06/18/2012,CD086CP130BA549,1,4,S,125973,18,2,3e-08,M,S,0.0,0.0,0,0.0,M,94.96,95.45,4983000.0,5220413.0,513498.0,0.0,0.0,Y,Non-Small Cell Lung Cancer,A549/ATCC
2448593,4167697,FF,CD086CP130B,06/18/2012,CD086CP130BA549,1,4,S,125973,18,3,3e-07,M,S,0.0,0.0,0,0.0,M,5.71,14.99,782280.0,5220413.0,513498.0,0.0,0.0,Y,Non-Small Cell Lung Cancer,A549/ATCC
